,커피/Noun,가격/Noun,직원/Noun,분위기/Noun,디저트/Noun
그러나/Conjunction,9.8593105e-18,1.2594422e-19,1.0668257e-19,1.497435e-18,4.4209734e-20
무/Noun,1.8871088e-19,6.2381005e-25,3.5207683e-21,1.2178653e-19,1.0048227e-21
번은/Noun,4.5018235e-22,2.07842e-25,1.8496512e-24,4.0250747e-23,1.088354e-24
식/Noun,2.2636514e-21,1.4890966e-24,1.532802e-22,2.2697737e-21,2.9302402e-23
차갑다/Adjective,1.3913415e-16,2.1046405e-22,2.2309066e-19,2.5815877e-18,1.3476213e-20
계란/Noun,4.2402548e-20,1.4317724e-23,2.095212e-22,3.4647563e-21,1.5295952e-22
점심/Noun,1.5698956e-20,2.173098e-22,5.894013e-23,5.240629e-21,1.5190721e-20
풍/Adverb,4.072215e-21,1.1215272e-25,5.0100436e-26,1.809077e-20,4.8930603e-23
탱/Adverb,3.1863018e-19,2.0408217e-22,5.8193986e-21,8.5854724e-20,1.6744561e-21
가세/Noun,2.7066875e-19,9.347372e-24,1.0712009e-20,2.3686344e-20,4.4714143e-20
수다/Noun,6.286968e-21,4.7509835e-26,1.5925068e-22,2.293913e-19,3.4854606e-22
카페인/Noun,1.2093482e-17,2.6373675e-20,1.5525235e-20,3.960145e-17,2.5114064e-19
주시/Noun,1.7676423e-19,2.5846148e-24,1.236068e-18,4.022748e-20,2.9256987e-20
그리다/Verb,2.8602963e-17,1.4971756e-21,4.0505e-18,2.546408e-17,1.5442895e-20
끼리/Noun,4.512535e-22,5.732982e-28,3.989066e-21,1.0520895e-21,1.2647294e-25
아기자기하다/Adjective,3.021327e-18,4.3806762e-23,7.695787e-21,4.431014e-15,1.8296365e-17
상큼/Noun,9.18719e-18,1.4591883e-22,2.58242e-22,3.6863588e-20,4.8138117e-19
오래되다/Adjective,2.6282005e-18,6.7099494e-22,1.4554096e-20,5.3351586e-18,2.9899182e-21
커피집/Noun,5.365166e-16,7.34749e-21,2.3784855e-20,4.4090057e-17,1.916563e-19
여자친구/Noun,2.5204965e-18,5.420896e-24,8.754071e-20,1.0121882e-17,2.22589e-20
자/Noun,3.0589462e-19,3.8359065e-23,3.0892916e-21,1.5262007e-18,4.147215e-20
크게/Noun,3.4002862e-19,3.0752074e-20,3.2601573e-20,4.799693e-19,3.7267524e-21
수프/Noun,4.376257e-20,1.8033906e-22,4.2991243e-24,5.9271623e-21,4.8258153e-20
만족스럽다/Adjective,6.3249155e-17,4.0697942e-20,1.9378831e-19,7.340785e-16,1.4492567e-17
촉촉하다/Adjective,1.4939594e-19,4.942039e-23,1.155009e-22,1.03730575e-19,1.9777917e-21
쑥/Noun,2.9773462e-18,1.0632327e-22,1.317458e-21,4.479851e-19,3.06003e-20
즈/Modifier,1.3335518e-22,9.654013e-27,5.2161263e-25,4.6406153e-23,1.2398131e-25
수제/Noun,6.415139e-17,2.9400275e-22,9.801573e-23,1.6020092e-18,3.0819028e-19
키/Noun,1.3279399e-18,5.3076627e-22,1.0499577e-19,3.9677602e-20,7.568127e-21
원/Modifier,5.96764e-20,7.0660735e-19,1.7299617e-23,4.228832e-21,2.0432521e-22
즐겁다/Adjective,1.2784329e-17,4.500737e-24,1.7045355e-19,6.4630086e-18,1.00975366e-19
이상하다/Adjective,2.6436785e-16,6.057892e-21,2.517489e-18,2.736777e-18,3.3792218e-19
안내/Noun,6.474343e-23,4.546513e-26,9.042085e-21,9.115458e-24,1.3162642e-26
사과/Noun,2.1559718e-23,3.7437277e-26,4.8743047e-21,9.66025e-25,2.059731e-24
애플/Noun,1.113236e-19,7.3589757e-25,1.9248752e-23,3.7964165e-21,8.448365e-21
오/Modifier,1.3244536e-19,5.809677e-23,3.1999048e-21,8.769679e-20,1.1497301e-21
보드게임/Noun,8.4690246e-19,7.8466366e-23,1.5831389e-19,5.3191254e-18,2.0037284e-18
탈출/Noun,2.2615e-23,2.1761628e-26,8.1353105e-23,8.892248e-24,2.4389936e-24
밍밍/Noun,4.4520187e-17,4.6576482e-20,6.840599e-21,4.338293e-20,9.796019e-20
흠/Noun,2.7908511e-18,2.1245437e-19,5.025637e-21,1.2785986e-17,2.5183498e-21
종종/Noun,4.644982e-19,8.957484e-23,1.5253209e-19,1.6346782e-18,1.5516945e-20
아이/Noun,3.4168905e-19,2.2485538e-23,2.7716465e-19,1.438658e-18,2.0048819e-19
심지어/Noun,5.6486367e-16,5.0505092e-20,8.7918e-17,2.4393839e-17,3.4309202e-18
잡다/Verb,1.5792904e-19,7.607046e-24,4.1730006e-21,2.565113e-20,1.65719e-22
하루/Noun,3.9865123e-20,1.0078462e-24,2.3976785e-21,6.526246e-22,3.8255334e-22
간격/Noun,7.7173316e-22,4.3920377e-23,8.518488e-22,1.7576439e-19,6.210016e-24
짱짱/Noun,5.071478e-19,1.6141263e-23,5.0627165e-21,1.5930743e-19,6.308397e-21
다방/Noun,2.4183225e-18,3.0191979e-24,3.731771e-23,3.2783292e-19,2.7174014e-22
일반/Noun,4.0621363e-18,1.8736733e-19,1.1710872e-22,7.520936e-19,1.1477241e-19
찾기/Noun,1.1682545e-21,7.7904754e-23,7.6565994e-23,1.1549534e-19,1.9969471e-23
일본/Noun,1.6740382e-17,1.0571822e-22,4.6531556e-20,1.5552051e-17,2.3853003e-20
최근/Noun,2.5717697e-17,2.1542314e-21,5.090259e-19,4.4459423e-17,1.3016139e-19
상당하다/Adjective,2.3166732e-18,2.2191585e-20,3.6824517e-20,3.5086365e-20,1.6023665e-22
맛남/Noun,9.116955e-16,1.2672169e-17,8.059215e-20,3.046514e-16,5.402748e-17
우연히/Adverb,1.9615997e-21,1.4778113e-26,1.591948e-22,2.486193e-20,5.636778e-23
이르다/Verb,6.087533e-17,6.663685e-20,1.0016172e-18,1.6155542e-17,1.9345531e-18
전반/Noun,1.1490226e-16,1.9900614e-19,2.6211006e-19,4.8477077e-16,5.5825245e-18
바셋/Noun,3.5053853e-20,1.0073157e-24,2.0361549e-23,1.60153e-21,6.06318e-23
사악하다/Adjective,5.452849e-19,1.1027203e-19,5.7446245e-22,1.44393e-19,3.356378e-20
믿다/Verb,7.6814825e-19,3.6320683e-23,7.0597856e-22,2.5750643e-20,4.809881e-20
미치다/Adjective,9.799537e-19,9.255443e-23,3.009094e-22,2.5416779e-20,3.9230608e-20
과/Noun,4.5149027e-18,2.4680957e-21,1.7062528e-19,6.403858e-20,7.2955416e-21
선물/Noun,5.985097e-22,6.5022097e-24,5.2918708e-23,3.077974e-22,4.108992e-22
전부/Noun,4.5185264e-16,4.5912817e-21,4.4842474e-18,1.6113013e-17,8.614941e-18
평가/Noun,5.9845875e-17,1.5032075e-21,5.6481734e-20,2.4684573e-18,2.821033e-20
핸드/Noun,8.6746676e-17,7.780497e-23,8.172169e-23,1.9161172e-19,3.6417002e-21
파이/Noun,1.5716655e-17,4.8719787e-22,1.1645441e-20,5.426623e-18,1.1243339e-16
감동/Noun,9.088008e-21,3.3511916e-23,4.5226658e-23,2.6009582e-21,2.1337509e-22
살/Noun,1.2775394e-19,1.507507e-23,1.8725345e-22,1.9414993e-21,1.26974854e-23
산/Noun,1.5185878e-17,2.6379483e-22,7.061694e-23,9.152695e-19,2.8268685e-22
그것/Noun,5.598354e-16,3.197905e-20,2.6567767e-19,1.2020215e-17,4.896506e-19
먼저/Noun,3.063521e-21,1.2709392e-25,1.9082238e-20,4.232057e-22,4.8659026e-23
최애/Noun,2.1299308e-20,1.3506391e-25,1.7277721e-23,3.4992932e-20,5.710434e-21
사실/Noun,2.0527983e-15,6.2670545e-18,1.0927838e-18,4.8603707e-17,7.64285e-17
물론/Adverb,3.876624e-16,2.2875579e-21,6.3536165e-18,2.0323519e-16,2.1290638e-18
계시다/Adjective,8.4352305e-20,4.3806383e-25,7.841634e-17,7.163719e-21,1.7726983e-21
민트/Noun,1.9258856e-19,3.8327896e-24,1.5989837e-22,8.174891e-21,1.4050575e-19
티라미슈/Noun,7.903012e-18,3.731031e-23,6.3558854e-21,6.482091e-19,1.1803787e-17
